station,year,n_tn,n_tx,n_tm,TN,TX,TMEAN,complete
Auzeville-Tolosane-INRAE,2004,362,361,361,8.94171270718232,18.6307479224377,13.8229916897507,TRUE
Auzeville-Tolosane-INRAE,2005,362,359,359,8.48121546961326,18.2827298050139,13.3924791086351,TRUE
Auzeville-Tolosane-INRAE,2006,363,356,356,9.62561983471075,19.6011235955056,14.5952247191011,TRUE
Auzeville-Tolosane-INRAE,2007,365,362,362,8.87589041095891,18.5530386740332,13.7911602209945,TRUE
Auzeville-Tolosane-INRAE,2008,366,366,366,8.88524590163934,18.575956284153,13.7554644808743,TRUE
Auzeville-Tolosane-INRAE,2009,365,365,365,9.38356164383562,19.1512328767123,14.2931506849315,TRUE
Auzeville-Tolosane-INRAE,2010,365,365,365,8.35890410958904,17.8972602739726,13.1534246575342,TRUE
Auzeville-Tolosane-INRAE,2011,365,365,365,9.74246575342466,19.8427397260274,14.8180821917808,TRUE
Auzeville-Tolosane-INRAE,2012,366,366,366,9.05765027322404,19.0073770491803,14.0549180327869,TRUE
Auzeville-Tolosane-INRAE,2013,365,365,365,9.15643835616438,17.9983561643836,13.6016438356164,TRUE
Auzeville-Tolosane-INRAE,2014,362,362,362,10.103591160221,19.6265193370166,14.8900552486188,TRUE
Auzeville-Tolosane-INRAE,2015,365,365,365,9.78109589041096,19.4446575342466,14.6378082191781,TRUE
Auzeville-Tolosane-INRAE,2016,366,366,366,9.60983606557377,19.2065573770492,14.4346994535519,TRUE
Auzeville-Tolosane-INRAE,2017,365,365,365,9.22328767123287,19.3230136986301,14.2997260273973,TRUE
Auzeville-Tolosane-INRAE,2018,365,365,365,10.3386301369863,19.5293150684932,14.9586301369863,TRUE
Auzeville-Tolosane-INRAE,2019,365,365,365,9.52301369863014,19.7235616438356,14.6468493150685,TRUE
Auzeville-Tolosane-INRAE,2020,366,366,366,10.3920765027322,20.0592896174863,15.2505464480874,TRUE
Auzeville-Tolosane-INRAE,2021,365,364,364,9.58438356164383,18.928021978022,14.2909340659341,TRUE
Auzeville-Tolosane-INRAE,2022,365,365,365,11.0391780821918,21.0928767123288,16.0917808219178,TRUE
Auzeville-Tolosane-INRAE,2023,365,365,365,10.3295890410959,20.5786301369863,15.4794520547945,TRUE
Auzeville-Tolosane-INRAE,2024,366,366,366,10.3948087431694,19.5524590163934,14.998087431694,TRUE
Auzeville-Tolosane-INRAE,2025,362,362,362,10.4690607734807,20.1279005524862,15.3229281767956,TRUE
Auzeville-Tolosane-INRAE,2026,188,190,190,9.69202127659575,19.9494736842105,14.8073684210526,FALSE
Toulouse-Blagnac,1947,365,365,365,8.8131506849315,18.5430136986301,13.6819178082192,TRUE
Toulouse-Blagnac,1948,366,366,366,8.2068306010929,18.5639344262295,13.3928961748634,TRUE
Toulouse-Blagnac,1949,365,365,365,8.65424657534246,19.1920547945205,13.9391780821918,TRUE
Toulouse-Blagnac,1950,365,365,365,7.99780821917808,18.2947945205479,13.1621917808219,TRUE
Toulouse-Blagnac,1951,365,365,365,7.75013698630137,17.1219178082192,12.4520547945205,TRUE
Toulouse-Blagnac,1952,366,366,366,8.17021857923498,18.2595628415301,13.2341530054645,TRUE
Toulouse-Blagnac,1953,365,365,365,7.6,17.8545205479452,12.7460273972603,TRUE
Toulouse-Blagnac,1954,365,365,365,7.09808219178082,16.5931506849315,11.8660273972603,TRUE
Toulouse-Blagnac,1955,365,365,365,8.10219178082192,18.3123287671233,13.2293150684932,TRUE
